model_name,features,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
test_RF_Class,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Loan_Amount_Term_Months', 'Property_Area', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.773913043,0.816091954,0.87654321,0.845238095,0.702977487
test_RF_Class,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Loan_Amount_Term_Months', 'Property_Area', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.773913043,0.816091954,0.87654321,0.845238095,0.702977487
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Loan_Amount_Term_Months', 'Property_Area', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.773913043,0.816091954,0.87654321,0.845238095,0.702977487
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Loan_Amount_Term_Months', 'Property_Area', 'Applicant_Income(total yearly)_to_Loan_Amount(total)', 'Coapplicant']",0.782608696,0.811111111,0.901234568,0.85380117,0.700617284
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents']",0.817391304,0.8,0.987654321,0.883977901,0.699709513
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Loan_Amount_Term_Months']",0.817391304,0.8,0.987654321,0.883977901,0.699709513
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education']",0.817391304,0.8,0.987654321,0.883977901,0.699709513
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Self_Employed']",0.817391304,0.8,0.987654321,0.883977901,0.699709513
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Loan_Amount_Term_Months', 'Property_Area']",0.817391304,0.8,0.987654321,0.883977901,0.699709513
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.765217391,0.813953488,0.864197531,0.838323353,0.696804648
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Loan_Amount_Term_Months', 'Property_Area', 'Applicant_Income(total yearly)_to_Loan_Amount(total)', 'Coapplicant', 'Self_Employed']",0.773913043,0.808988764,0.888888889,0.847058824,0.694444444
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Loan_Amount_Term_Months']",0.808695652,0.797979798,0.975308642,0.877777778,0.693536674
Random Forest Classifier,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Loan_Amount_Term_Months']",0.808695652,0.797979798,0.975308642,0.877777778,0.693536674
Logistic Regression,['Credit_History'],0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Married']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Dependents']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Education']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Self_Employed']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Loan_Amount_Term_Months']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Property_Area']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Coapplicant']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Dependents']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Education']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Self_Employed']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Loan_Amount_Term_Months']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Property_Area']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Coapplicant']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Education']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Self_Employed']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Loan_Amount_Term_Months']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Property_Area']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Coapplicant']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Self_Employed']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Loan_Amount_Term_Months']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Property_Area']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Coapplicant']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Self_Employed']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Loan_Amount_Term_Months']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Property_Area']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Coapplicant']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Self_Employed', 'Loan_Amount_Term_Months']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Self_Employed', 'Property_Area']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Self_Employed', 'Applicant_Income(total yearly)_to_Loan_Amount(total)']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
Logistic Regression,"['Credit_History', 'Gender', 'Married', 'Dependents', 'Education', 'Self_Employed', 'Coapplicant']",0.817391304,0.794117647,1.0,0.885245902,0.691176471
